Te, Ar+0, Ar+1, Ar+2, Ar+3, Ar+4, Ar+5, Ar+6, Ar+7, Ar+8, Ar+9, Ar+10, Ar+11, Ar+12, Ar+13, Ar+14, Ar+15, Ar+16, Ar+17, Ar+18
1.6432e+02, 2.5457e-30, 1.3643e-24, 5.6579e-20, 6.9164e-16, 2.4998e-12, 6.2804e-09, 3.6214e-06, 2.3747e-03, 4.3003e-02, 1.5508e-01, 2.8617e-01, 2.9498e-01, 1.5303e-01, 5.7036e-02, 7.7994e-03, 5.1471e-04, 1.4568e-05, 9.9880e-17, 3.2365e-29
1.8160e+02, 2.9169e-31, 1.7816e-25, 8.5311e-21, 1.2197e-16, 5.2279e-13, 1.5793e-09, 1.1015e-06, 8.8832e-04, 1.8238e-02, 8.5879e-02, 2.1258e-01, 2.9986e-01, 2.2502e-01, 1.2700e-01, 2.7320e-02, 3.0558e-03, 1.6547e-04, 1.3892e-14, 6.5534e-26
2.0071e+02, 2.8876e-32, 2.0077e-26, 1.1084e-21, 1.8490e-17, 9.3689e-14, 3.3876e-10, 2.8446e-07, 2.8106e-04, 6.5822e-03, 4.0070e-02, 1.3132e-01, 2.4977e-01, 2.6520e-01, 2.2033e-01, 7.2081e-02, 1.3081e-02, 1.2881e-03, 1.0619e-12, 5.7426e-23
2.2183e+02, 2.4580e-33, 1.9432e-27, 1.2351e-22, 2.3990e-18, 1.4326e-14, 6.1740e-11, 6.2153e-08, 7.4959e-05, 2.0130e-03, 1.5702e-02, 6.7338e-02, 1.7048e-01, 2.5126e-01, 2.9994e-01, 1.4502e-01, 4.1132e-02, 7.0356e-03, 4.6196e-11, 2.2898e-20
2.4517e+02, 1.8087e-34, 1.6242e-28, 1.1868e-23, 2.6788e-19, 1.8797e-15, 9.6175e-12, 1.1561e-08, 1.6955e-05, 5.2439e-04, 5.1982e-03, 2.8870e-02, 9.6152e-02, 1.9338e-01, 3.2473e-01, 2.2634e-01, 9.7116e-02, 2.7669e-02, 1.1979e-09, 4.4454e-18
2.7096e+02, 1.1607e-35, 1.1825e-29, 9.9206e-25, 2.5967e-20, 2.1352e-16, 1.2923e-12, 1.8479e-09, 3.2825e-06, 1.1733e-04, 1.4671e-03, 1.0453e-02, 4.5313e-02, 1.2251e-01, 2.8406e-01, 2.7931e-01, 1.7626e-01, 8.0505e-02, 1.9433e-08, 4.5093e-16
2.9947e+02, 1.0000e-36, 7.5929e-31, 7.3034e-26, 2.2126e-21, 2.1265e-17, 1.5171e-13, 2.5715e-10, 5.5127e-07, 2.2836e-05, 3.5769e-04, 3.2421e-03, 1.8115e-02, 6.4962e-02, 2.0458e-01, 2.7844e-01, 2.5213e-01, 1.7815e-01, 2.0605e-07, 2.5403e-14
3.3098e+02, 1.0000e-36, 4.4067e-32, 4.8538e-27, 1.6990e-22, 1.9040e-18, 1.5958e-14, 3.1958e-11, 8.2425e-08, 3.9657e-06, 7.7320e-05, 8.8457e-04, 6.3149e-03, 2.9680e-02, 1.2511e-01, 2.3175e-01, 2.9466e-01, 3.1152e-01, 1.5035e-06, 8.4943e-13
3.6580e+02, 1.0000e-36, 2.4068e-33, 3.0320e-28, 1.2241e-23, 1.5962e-19, 1.5668e-15, 3.6959e-12, 1.1435e-08, 6.4000e-07, 1.5442e-05, 2.2140e-04, 2.0032e-03, 1.2208e-02, 6.7978e-02, 1.6885e-01, 2.9573e-01, 4.5298e-01, 8.0438e-06, 1.8213e-11
4.0428e+02, 1.0000e-36, 1.2950e-34, 1.8638e-29, 8.6650e-25, 1.3119e-20, 1.5040e-16, 4.1671e-13, 1.5418e-09, 1.0050e-07, 2.9846e-06, 5.3279e-05, 6.0641e-04, 4.7453e-03, 3.4494e-02, 1.1335e-01, 2.6886e-01, 5.7786e-01, 3.3662e-05, 2.7055e-10
